name1;name2;path1;path2;n_match;ssim;H;Distance
38191-R.jpg;40196-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\38191-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\40196-R.jpg;0;0.008398975131305182;"[[1. 0. 0.]
 [0. 1. 0.]]";0.46732944603919485
33784-R.jpg;38191-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\33784-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\38191-R.jpg;0;0.0037874150505085467;"[[1. 0. 0.]
 [0. 1. 0.]]";0.4673423715551947
40196-R.jpg;5713-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\40196-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\5713-R.jpg;0;0.007130618692739421;"[[1. 0. 0.]
 [0. 1. 0.]]";0.46736670320799134
14582-R.jpg;18051-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\14582-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\18051-R.jpg;0;0.004009480563180405;"[[1. 0. 0.]
 [0. 1. 0.]]";0.467367479945632
18051-R.jpg;32307-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\18051-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\32307-R.jpg;0;0.0021820771499668247;"[[1. 0. 0.]
 [0. 1. 0.]]";0.4673931226118227
14582-R.jpg;40196-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\14582-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\40196-R.jpg;0;0.006803112282218871;"[[1. 0. 0.]
 [0. 1. 0.]]";0.4674478852862438
18051-R.jpg;5713-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\18051-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\5713-R.jpg;0;0.004283582908021022;"[[1. 0. 0.]
 [0. 1. 0.]]";0.46748681698012673
12258-R.jpg;5713-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\12258-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\5713-R.jpg;0;0.006560645070854266;"[[1. 0. 0.]
 [0. 1. 0.]]";0.46773001301322625
18519-R.jpg;40196-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\18519-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\40196-R.jpg;0;0.004683657424331754;"[[1. 0. 0.]
 [0. 1. 0.]]";0.4678582187690882
18519-R.jpg;39861-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\18519-R.jpg;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205\TEMP\CROP\39861-R.jpg;0;0.0013686327347979194;"[[1. 0. 0.]
 [0. 1. 0.]]";0.4680254798560476
